game_id,name
174430,gloomhaven
161936,pandemic-legacy-season-1
182028,through-ages-new-story-civilization
12333,twilight-struggle
167791,terraforming-mars
187645,star-wars-rebellion
120677,terra-mystica
169786,scythe
193738,great-western-trail
173346,7-wonders-duel
84876,castles-burgundy
115746,war-ring-second-edition
102794,caverna-cave-farmers
3076,puerto-rico
31260,agricola
96848,mage-knight-board-game
205637,arkham-horror-card-game
220308,gaia-project
183394,viticulture-essential-edition
170216,blood-rage
205059,mansions-madness-second-edition
209010,mechs-vs-minions
124361,concordia
25613,through-ages-story-civilization
164153,star-wars-imperial-assault
164928,orleans
2651,power-grid
175914,food-chain-magnate
177736,feast-odin
72125,eclipse
55690,kingdom-death-monster
28720,brass-lancashire
121921,robinson-crusoe-adventures-cursed-island
35677,le-havre
126163,tzolk-mayan-calendar
180263,7th-continent
221107,pandemic-legacy-season-2
124742,android-netrunner
171623,voyages-marco-polo
68448,7-wonders
122515,keyflower
178900,codenames
146508,time-stories
233078,twilight-imperium-fourth-edition
18602,caylus
146021,eldritch-horror
12493,twilight-imperium-third-edition
28143,race-galaxy
110327,lords-waterdeep
62219,dominant-species
157354,five-tribes
159675,fields-arle
93,el-grande
163412,patchwork
40834,dominion-intrigue
132531,roll-galaxy
201808,clank-deck-building-adventure
103885,star-wars-x-wing-miniatures-game
150376,dead-winter-crossroads-game
230802,azul
37111,battlestar-galactica-board-game
162886,spirit-island
172386,mombasa
2511,sherlock-holmes-consulting-detective-thames-murder
216132,clans-caledonia
73439,troyes
144733,russian-railroads
42,tigris-euphrates
102680,trajan
36218,dominion
125153,gallerist
30549,pandemic
194655,santorini
521,crokinole
104162,descent-journeys-dark-second-edition
127023,kemet
205896,rising-sun
34635,stone-age
155426,castles-mad-king-ludwig
9609,war-ring-first-edition
161970,alchemists
175155,forbidden-stars
103343,game-thrones-board-game-second-edition
128882,resistance-avalon
185343,anachrony
147020,star-realms
155068,arcadia-quest
146652,legendary-encounters-alien-deck-building-game
70149,ora-et-labora
148949,istanbul
14996,ticket-ride-europe
126042,nations
123260,suburbia
43111,chaos-old-world
17133,railways-world
198928,pandemic-iberia
14105,commands-colors-ancients
197376,charterstone
171131,captain-sonar
91,paths-glory
